m_phi,k_rot,sector
0.35,0.3,C
0.35,0.301,C
0.35,0.302,C
0.35,0.303,C
0.35,0.304,C
0.35,0.305,C
0.35,0.306,C
0.35,0.307,C
0.35,0.308,C
0.35,0.309,C
0.35,0.31,C
0.35,0.311,C
0.35,0.312,C
0.35,0.313,C
0.35,0.314,C
0.35,0.315,C
0.35,0.316,C
0.35,0.317,C
0.35,0.318,C
0.35,0.319,C
0.35,0.32,C
0.35,0.321,C
0.35,0.322,C
0.35,0.323,C
0.35,0.324,C
0.35,0.325,C
0.35,0.326,C
0.35,0.327,C
0.35,0.328,C
0.35,0.329,C
0.35,0.33,C
0.35,0.331,C
0.35,0.332,C
0.35,0.333,C
0.35,0.334,C
0.35,0.335,C
0.35,0.336,C
0.35,0.337,C
0.35,0.338,C
0.35,0.339,C
0.35,0.34,C
0.35,0.341,C
0.35,0.342,C
0.35,0.343,C
0.35,0.34400000000000003,C
0.35,0.34500000000000003,C
0.35,0.34600000000000003,C
0.35,0.34700000000000003,C
0.35,0.34800000000000003,C
0.35,0.34900000000000003,C
0.35,0.35000000000000003,C
0.35,0.35100000000000003,C
0.35,0.35200000000000004,C
0.35,0.35300000000000004,C
0.35,0.35400000000000004,C
0.35,0.35500000000000004,C
0.35,0.35600000000000004,C
0.35,0.35700000000000004,C
0.35,0.35800000000000004,C
0.35,0.35900000000000004,C
0.35,0.36000000000000004,C
0.35,0.36100000000000004,C
0.35,0.36200000000000004,C
0.35,0.36300000000000004,C
0.35,0.36400000000000005,C
0.35,0.36500000000000005,C
0.35,0.36600000000000005,C
0.35,0.36700000000000005,C
0.35,0.36800000000000005,C
0.35,0.36900000000000005,C
0.35,0.37000000000000005,C
0.35,0.37100000000000005,C
0.35,0.37200000000000005,C
0.35,0.37300000000000005,C
0.35,0.37400000000000005,C
0.35,0.37500000000000006,C
0.35,0.37600000000000006,C
0.35,0.37700000000000006,C
0.35,0.37800000000000006,C
0.35,0.37900000000000006,C
0.35,0.38000000000000006,C
