m_phi,k_rot,q,delta_phi_ini,sector,phi_mean_tail,phi_std_tail,traj_file
0.2,0.0,1.0,0.01,A,0.004039681201633602,0.00033576705170260097,traj_m0p20_k0p00_q1p00_d0p01.npz
0.2,0.0,1.0,1.5707963267948966,A,0.6345515906246838,0.05274216525253203,traj_m0p20_k0p00_q1p00_d1p57.npz
0.2,0.0,1.0,2.827433388230814,C,1.1421928685492595,0.09493590063204066,traj_m0p20_k0p00_q1p00_d2p83.npz
0.2,0.1,1.0,0.01,A,0.37610271150596875,0.007989618288907051,traj_m0p20_k0p10_q1p00_d0p01.npz
0.2,0.1,1.0,1.5707963267948966,A,1.0066146080505722,0.044423977727800004,traj_m0p20_k0p10_q1p00_d1p57.npz
0.2,0.1,1.0,2.827433388230814,C,1.5142558641792099,0.086617154484083,traj_m0p20_k0p10_q1p00_d2p83.npz
0.2,0.2,1.0,0.01,A,0.7481657423004222,0.016314751471050812,traj_m0p20_k0p20_q1p00_d0p01.npz
0.2,0.2,1.0,1.5707963267948966,A,1.3786776372879002,0.0361090032835136,traj_m0p20_k0p20_q1p00_d1p57.npz
0.2,0.2,1.0,2.827433388230814,A,1.8863188950797496,0.07829981433254804,traj_m0p20_k0p20_q1p00_d2p83.npz
0.2,0.5,1.0,0.01,A,1.864354834930373,0.041290167205376656,traj_m0p20_k0p50_q1p00_d0p01.npz
0.2,0.5,1.0,1.5707963267948966,A,2.494866741786754,0.011254559416813735,traj_m0p20_k0p50_q1p00_d1p57.npz
0.2,0.5,1.0,2.827433388230814,B,3.002507996234849,0.053362331240677116,traj_m0p20_k0p50_q1p00_d2p83.npz
0.5,0.0,1.0,0.01,C,6.279871728877174,0.0001741423085960309,traj_m0p50_k0p00_q1p00_d0p01.npz
0.5,0.0,1.0,1.5707963267948966,C,5.762689560988474,0.027354225194882238,traj_m0p50_k0p00_q1p00_d1p57.npz
0.5,0.0,1.0,2.827433388230814,C,5.346292963992175,0.049237606442941555,traj_m0p50_k0p00_q1p00_d2p83.npz
0.5,0.1,1.0,0.01,A,0.042252589206333194,0.009084746257000181,traj_m0p50_k0p10_q1p00_d0p01.npz
0.5,0.1,1.0,1.5707963267948966,C,5.80825573199532,0.018312969917559572,traj_m0p50_k0p10_q1p00_d1p57.npz
0.5,0.1,1.0,2.827433388230814,C,5.391859133239666,0.04015720287089408,traj_m0p50_k0p10_q1p00_d2p83.npz
0.5,0.2,1.0,0.01,A,0.08781875680358904,0.01834086751899888,traj_m0p50_k0p20_q1p00_d0p01.npz
